pH,Impurities,Turbidity,Chemical Dosages
6.5,45,10,15
7.0,50,12,16
7.2,55,13,18
7.5,60,15,20
7.6,62,17,21
7.7,65,18,22
6.9,48,11,14
7.3,57,14,19
7.8,70,20,25
8.0,80,22,28
8.2,85,23,30
8.5,90,25,32
8.7,95,27,35
6.7,50,12,16
6.8,52,14,17
7.1,58,16,20
7.4,63,18,23
7.9,75,21,26
8.1,83,24,31
8.3,88,26,33
8.4,92,28,36
6.6,47,11,15
6.7,50,13,17
7.2,56,15,19
7.6,64,19,24
7.9,72,21,27
8.0,77,23,29
7.8,74,22,26
7.3,60,16,22
7.5,65,18,25
7.4,62,17,23
6.9,49,12,18
6.8,51,14,19
7.5,66,19,24
8.1,82,24,30
8.3,86,26,32
6.7,53,13,18
6.9,56,14,19
7.2,59,15,21
7.4,61,17,22
7.8,73,20,26
8.0,78,22,28
7.9,76,21,27
7.5,70,19,25
7.6,72,20,26
8.1,81,23,30
8.4,89,25,34
8.2,84,24,32
6.5,46,10,15
7.3,55,13,19
7.6,62,16,22
8.0,77,20,28
7.2,59,15,21
7.4,64,17,23
7.8,73,21,27
8.3,87,26,33
6.6,49,11,17
7.1,58,15,20
6.9,51,13,18
7.5,66,18,24
8.2,83,22,31
8.1,80,21,29
6.7,52,12,18
7.0,55,14,19
8.0,78,23,30
7.3,60,17,22
8.5,92,27,35
8.3,88,25,33
7.6,64,19,24
7.8,72,21,26
7.9,75,22,28
